line_item,period,value,symbol
Interest Expense Non Operating,2021-03-31 00:00:00,4940079.0,AJOONI.NS
Interest Income Non Operating,2021-03-31 00:00:00,2137.0,AJOONI.NS
Operating Income,2021-03-31 00:00:00,12129928.0,AJOONI.NS
Operating Expense,2021-03-31 00:00:00,68131799.0,AJOONI.NS
Other Operating Expenses,2021-03-31 00:00:00,15857309.0,AJOONI.NS
Depreciation And Amortization In Income Statement,2021-03-31 00:00:00,4368130.0,AJOONI.NS
Depreciation Income Statement,2021-03-31 00:00:00,4368130.0,AJOONI.NS
Research And Development,2021-03-31 00:00:00,699022.0,AJOONI.NS
Selling General And Administration,2021-03-31 00:00:00,32022101.0,AJOONI.NS
Selling And Marketing Expense,2021-03-31 00:00:00,27173181.0,AJOONI.NS
General And Administrative Expense,2021-03-31 00:00:00,4848920.0,AJOONI.NS
Rent And Landing Fees,2021-03-31 00:00:00,785800.0,AJOONI.NS
Gross Profit,2021-03-31 00:00:00,80261727.0,AJOONI.NS
Cost Of Revenue,2021-03-31 00:00:00,430127174.0,AJOONI.NS
Total Revenue,2021-03-31 00:00:00,510388901.0,AJOONI.NS
Operating Revenue,2021-03-31 00:00:00,510388901.0,AJOONI.NS
